,STotalM2,SConstrM2,precio_pesos_constantes
4,440,425,265504.605547193
81,800,50,3165.34701448124
443,600,35,4390.23818705727
732,611,335,292301.699267572
776,600,600,1617.57803153558
970,6293,6293,13139.3372563634
1025,491,490,314719.212773993
1253,650,650,161757.803153558
1334,423,325,121248.510149315
1641,450,250,148814.162438744
1667,720,260,120359.523227824
2035,500,500,39302.7075724333
2096,500,490,293737.931922393
2128,4300,4300,31522.8645953811
2304,1111,45,5302.51494678216
2361,540,290,311788.815905899
2366,477,400,215255.180492508
2379,418,418,105371.097804199
2773,410,60,19709.0207659713
2818,1000000,150,123006.867629671
2857,418,230,105294.144067599
2936,491,490,257913.264059622
3361,406,390,553872.09419657
3380,420,420,340268.092808784
3590,539,269,138947.270473501
3601,1600,100,2186.77945607811
3906,1000,70,13168.0466473553
3931,422,327,86480.597473011
4300,620,620,301357.252689511
4381,436,417,105434.457968289
4543,404,400,277894.540947003
4582,1111,40,8372.39202123499
4601,500,500,43716.7092015627
4679,1111,1111,9745.76138886866
4712,718,487,281158.554582105
4841,1111,1111,5884.26805780447
4899,603,377,201117.668541886
4910,440,440,116628.237657499
5021,620,620,337712.990803939
5297,800,50,3640.85125282488
5419,435,435,100548.431163594
5498,457,385,144431.427873388
5626,460,460,277894.540947003
5904,600,600,244465.55209743
6005,472,73,8406.09722543496
6022,1000,1000,5041.56647056296
6378,507,430,175724.096613815
6439,900,850,132287.540462931
6672,669,618,287556.379869379
6727,420,420,226869.082903899
6780,600,30,5518.52581447196
7734,475,475,218844.356527565
7818,1000,1000,8747.11782431243
7846,406,406,262613.227833078
7908,1000,500,31354.6081177749
7928,500,43,72616.6510811026
7950,40000,100,9195.62003663748
7970,402,300,273655.468765779
8058,457,385,200435.667368078
8087,420,420,445488.380974929
8109,445,300,363745.530447946
8180,440,405,351236.992680663
8514,520,300,65683.0002616963
8613,416,405,164995.696657381
8666,11111111,32,9242.87186269876
8731,445,300,306382.09913859
8732,460,300,172106.126413525
8798,422,422,177003.070364795
8858,1200,900,5253.81076589685
8947,800,150,31257.5465034413
9509,1111111,1111,8958.89371312015
9517,478,445,841645.008100953
9562,45000,45000,882.784665240505
9592,436,436,122932.947438232
9962,1000,1000,5248.27069458746
9967,440,405,433507.196524125
10007,472,73,8028.7461548478
10066,418,418,105434.457968289
10114,431,415,228441.32559796
10516,540,420,395622.924426121
10631,431,415,262300.255209376
10657,490,390,145949.583341749
10826,700,60,5324.00807810539
10927,800,50,3938.35269569131
10986,418,230,121691.428939277
11093,520,300,28028.6595187211
11193,500,500,37827.4375144573
11237,436,418,126246.751215143
11382,1000,500,42150.917312951
11692,16000,40,4665.12950629996
11767,600,30,5860.67441486449
11980,2500,2500,3524.81252584364
12017,540,420,402235.337083772
12035,440,405,420822.504050477
12139,515,115,80447.0674167544
12196,145000,145000,72939.2748031741
12655,1111,45,5972.30630814761
12677,460,460,312788.891972591
12824,4303,4303,3501.08782677983
13325,585,50,5065.65944660455
13377,11111,11111,5493.61726566933
13833,457,457,167322.254544381
13869,800,150,26201.8050482889
14157,450,450,364873.958354373
14216,600,260,154877.686569196
14224,431,415,161664.680199087
14307,426,394,223524.828851672
14402,600,50,8361.22883140665
14429,1000,1000,4479.44685656008
14492,3011,3011,8408.59785561632
14526,440,425,267247.55649077
14552,510,432,171942.176039748
14591,1000,1000,6119.43156975474
14657,516,456,398644.336180391
14829,440,425,309366.93123259
14968,575,575,438082.599152869
15180,1000,1000,4079.62104650316
15336,575,575,356060.631983509
15431,460,460,280989.59414453
15561,620,620,236811.136363018
15611,34000,34,7256.07308507032
15704,93000,93000,75748.0507290858
15802,922,460,176093.202347768
15887,480,480,280989.59414453
16025,576,521,237373.754655673
16140,8250,70,21148.8751550618
16233,1111,1111,1617.57803153558
16302,5330,50,8406.09722543496
16342,1111,1111,2239.72342828004
16422,422,327,102861.960350792
16630,800,150,23566.4969219694
16658,436,417,105434.457968289
16660,431,415,296717.193319591
16707,445,440,118686.877327836
16854,650,650,136599.079913318
16920,430,330,397715.952633644
17057,677,568,531009.211094386
17153,401,326,163653.990642476
17227,900,850,50656.5944660455
17312,457,385,202627.794482364
17315,900,850,65026.0794786188
17319,478,478,402235.337083772
17374,1111,111,3826.19419021644
17389,669,618,292301.699267572
17467,406,406,247493.544986072
17532,431,415,164995.696657381
17710,450,450,126246.751215143
17813,540,290,278870.424240635
17963,457,457,169747.914209041
18587,718,487,350150.970444103
18877,401,326,163653.990642476
18879,440,425,206330.611247698
18969,454,437,244976.926783206
19061,1111,40,7465.38288518451
19099,450,450,165064.488998158
19218,487,385,199128.454160395
19274,1111,1111,6997.69425944994
19330,423,406,153008.482205469
19493,500,280,150248.24877271
19527,457,457,153247.062508836
20020,436,436,147287.876417667
20098,770,610,672558.971524406
20163,800,50,3938.35269569131
20194,403,403,215255.180492508
20316,680,680,316303.373904868
20336,650,650,165801.748242713
20395,800,50,3938.35269569131
20402,406,406,265143.968422429
20904,585,50,4730.1649838331
20925,800,50,3666.4862264908
20943,550,550,197811.462213061
21026,847,269,11851.2419826197
21028,700,700,245865.894876464
21035,520,300,34884.9667551458
21106,500,400,32848.3679432854
21190,435,400,200680.677094905
21194,2222,1111,3571.11457753535
21243,477,477,169150.81168787
21291,402,300,260526.132137815
21310,780,600,263427.744510497
21311,460,460,328386.562518935
21430,442,330,1751.72580583958
21438,440,405,398386.320343765
21492,410,410,114730.648083575
21740,999,999,6964.45987784652
21798,3500,66,4665.12950629996
21816,478,445,694736.352367507
21918,575,575,371240.317479108
21967,79000,79,13295.7870395252
22150,500,500,37184.0555327699
22245,520,300,50179.6634677988
22340,466,319,364873.958354373
22663,600,600,281149.163411433
22920,1111,1111,5289.73863904391
22968,750,550,561784.763691828
23274,402,310,136991.050351588
23419,48000,45,8105.05511456727
23558,627,627,243157.723328627
23621,457,385,176242.759153436
23977,685,60,5776641.48361662
24172,1111,55,8837.43634573853
24354,423,406,146868.965961197
24379,436,436,153008.482205469
24739,30000,40,2672475.5649077
24863,415,377,210411.252025238
24908,431,415,237168.072930342
25014,460,460,336658.003240381
25114,1000000,150,122932.947438232
25116,11111,1111111,27016.8503818909
25201,460,460,278870.424240635
25223,500,500,31944.0484686323
25237,2222,1111,3252.36455614923
25302,800,49,3677.98528265395
25366,1111,111,3060.95535217315
25390,533,478,1005588.34270943
25449,675,402,164193.281259468
25681,678,45,4476.14169574935
25810,750,550,580933.20864882
25922,478,445,791245.848852242
26051,510,432,181541.627702756
26690,1049,1049,593434.386639182
26793,999,999,6722.45161953476
26911,416,230,80784.5083165524
26949,1000,1000,6799.3684108386
27060,431,415,303121.275373288
27103,426,394,191225.433765007
27227,420,420,468187.772246055
27240,436,436,130144.194364695
27411,780,600,263427.744510497
27515,515,115,79124.5848852242
27596,620,620,300338.190366011
27638,600,260,154667.314913084
27656,770,610,683800.073042412
27673,547,441,144371.234575208
27830,1111,27,4479.2297311107
27918,750,550,602575.003168534
27956,750,550,637418.112550024
28098,442,330,223104.333196619
28183,1111,45,5581.59468082332
28249,1111,1111,14832.7531637694
28294,440,425,257432.734599438
28327,1111,111,4621.43593134938
28757,1111,24,5972.30630814761
28867,800,50,3967.30397928293
29000,68000,68000,8979.95976519085
29139,450,450,419625.61703199
29264,1000,1000,5895.40613586499
29317,445,300,309755.373138392
29496,450,450,128716.367299719
29562,600,600,1707.7580068041
29615,418,418,108924.976621654
29634,500,280,151440.282011437
29969,500,500,24744.8217680679
30049,770,610,422877.029219675
30089,540,290,294575.752835334
30296,627,627,260288.388729389
30305,420,400,30467.7206318975
30394,457,385,142086.681817811
30468,547,441,159912.551539181
30533,2700,300,5471108.91318912
30934,460,400,331880.756933992
31137,38000,38000,7416.37658188471
31535,426,342,180202.914219607
31591,800,700,254158.278783859
31839,442,330,252493.502430286
32133,32000,30,6207.79341946749
32202,792,300,48339.2721926009
32208,9999,45,8178.17764329881
32230,700,700,263586.144920723
32348,500,280,146373.522734906
32456,576,521,241341.202250263
32477,440,437,146868.965961197
32544,404,400,343243.646132584
32550,510,432,169150.81168787
32692,669,618,338628.3722922
32804,500,500,45914.3302825973
32910,420,200,50279.4171354715
32991,428,428,84164.5008100953
33216,550,350,20930.9800530875
33233,4000,35,4777.84504651808
33338,426,342,185853.223883035
33482,1140,116,29825.3367571385
33506,1111,24,4944.25105458981
33519,1111,1111,5807.79385026648
33634,420,420,340730.910452231
33660,700,60,2043.76265599424
33740,500,400,40089.106094602
33762,450,410,150678.626344756
33792,603,377,214527.278832865
34227,1000,1000,10203.1845072438
34230,571,571,445412.594151284
34302,478,445,702473.985361325
34354,460,460,309495.916871546
34723,800,50,3793.24055665788
34836,669,618,350615.855396935
34874,450,450,263586.144920723
34931,435,400,337712.990803939
35006,750,485,453738.165807798
35152,426,342,142086.681817811
35244,500,400,28028.6595187211
35289,65133,91,40902.4610860469
35369,575,575,400120.083492741
35408,460,460,293737.931922393
35568,500,500,22336.8902014341
35694,718,487,318709.056275012
35720,718,487,275107.481663597
35885,900,850,44190.6614037382
35953,500,80,3488.49667551458
35965,420,350,308620.767094686
36318,1000,1000,11558.3836849731
36431,611,335,368481.117045506
36529,478,445,839251.23406398
36547,571,571,420822.504050477
36692,2000,2000,19606.0918299671
36762,445,440,121248.510149315
36987,442,330,199193.160171882
37155,600,440,212418.526296821
37300,477,400,201336.80800536
37389,404,400,329991.393314762
37560,700,60,2597.31085300207
37667,426,342,156173.033237634
37737,740,489,209812.808515995
37775,1111,1111,11203.4810456955
37834,540,290,254158.278783859
38037,780,600,273655.468765779
38198,597,597,504987.004860572
38391,435,400,200680.677094905
38575,550,350,26093.4250032554
38661,585,37,4180.61441570332
38861,611,335,316064.472028544
38894,418,230,98107.4707789647
39323,420,72,1748668.36806251
39505,477,477,171942.176039748
39562,431,415,177003.070364795
39733,450,450,347368.176183753
39747,460,400,70021.7565355967
40118,404,400,336658.003240381
40250,420,72,1683290.01620191
40283,500,490,246013.735259342
40597,490,390,177003.070364795
40749,490,490,88638.5802635012
40790,600,50,9455.89763366182
40809,603,377,216753.598262063
40845,1111,111,4889.05572329801
40992,11111,111,3714.81692751
41054,418,230,115532.032899692
41055,460,460,290466.60432441
41344,457,385,231452.377227762
41532,516,116,79124.5848852242
41655,422,327,125436.253727178
41691,440,236,159354.528137506
41731,600,600,232736.678043115
42130,38000,38000,8093.31228719382
42227,750,550,670601.51031068
42275,457,457,202627.794482364
42404,559,482,251775.370219194
42427,597,597,520208.63582895
42874,1111,1111,17304.8786910643
43128,450,250,147392.446818203
43350,1111,1111,6778.48562662238
43561,495,495,163387.464932481
43562,800,150,27197.4736433544
43619,100000000,10000000,9613821.39889752
43676,500,500,41816.1157219186
43787,677,568,474747.509311345
43811,500,180,5611.75147898412
43835,520,300,52538.1076589685
43961,1111,111,2986.29790437338
44102,718,487,344408.288788013
44161,45000,45000,4436.67339842116
44241,600,45,5643.44856315226
44347,610,610,44845.8552299537
44364,442,330,175618.496340331
44479,416,405,175075.485222052
44492,770,610,524532.021289988
44517,460,450,121578.861664314
44611,1000,300,4906.77855030096
44616,1000,1000,3782.74375144573
44770,610,610,59723.0630814761
44830,477,400,210411.252025238
45175,507,430,199193.160171882
45210,450,450,104210.452855126
45327,1111,45,4992.95192737939
45366,404,400,346630.260436654
45593,597,597,304471.461038166
45684,416,405,192978.851887965
45814,718,487,297472.444262159
45894,460,460,264790.951101212
46018,450,250,151440.282011437
46041,11111,11111,5773.79174588251
46047,650,650,135966.90400122
46136,500,400,23639.7440841545
46209,560,45,5131.40558010906
46761,557,370,441906.614037382
46915,475,475,243048.63772056
46923,1111,111,5065.06172934292
47008,445,445,261452.969104452
47061,420,420,186065.892856657
47328,485,444,878620.483069077
47333,520,300,40089.106094602
47667,404,400,270641.298700592
47672,770,610,820160.120523853
47793,420,420,477908.289984948
47902,500,40,4744.93993863567
48045,1111,55,8837.43634573853
48110,440,425,258306.21659101
48118,1111,40,7883.60830638851
48158,500,180,5474.8794913512
48236,1111,1111,83661.1272721906
48381,700,700,254158.278783859
48386,466,319,398386.320343765
48466,550,350,24454.9437736598
49022,490,250,125887.685109597
49041,420,420,464951.189863818
49344,435,310,632606.747809735
49726,520,520,138144.468350377
49851,740,489,215255.180492508
50192,422,422,138947.270473501
50244,460,460,323144.097310906
50270,1111,40,1522357.30519083
50290,620,620,278870.424240635
50454,431,415,192978.851887965
50536,500,500,1813.16490955696
50641,418,260,218924.375012623
50773,431,415,325130.397393094
50914,34000,34,6832.46053220337
51094,420,420,231452.377227762
51196,597,597,316303.373904868
51205,1111,1111,7333.58358494701
51334,1600,100,6021.55961613585
51522,440,425,260104.317914475
51667,460,450,139435.212120318
51675,435,400,199695.790473032
51698,1111,1111,5912.70622979138
51838,475,475,222288.935273745
51984,420,360,536236.014136489
51993,603,377,218844.356527565
52050,750,550,573360.0458844
52342,487,385,196725.191407032
52349,1111,1111,11558.3836849731
52609,1111,1111,3940.98001570178
52671,799,48,3809.61401517839
52873,520,300,52538.1076589685
52944,500,240,11224.9497064886
52975,600,60,6416.88563682863
52996,408,408,411831.836697919
53216,431,415,239031.792206259
53422,800,150,24086.2384645434
53498,450,450,398386.320343765
53728,1111,1111,9388.98014230351
53907,750,550,481438.092911294
54002,418,230,100736.771093288
54067,550,350,23645.8800942107
54154,460,450,153008.482205469
54178,406,406,140782.36797932
54534,457,385,185620.158739554
54587,478,445,861020.721970033
54651,571,571,429054.55766573
54764,740,489,222706.297075642
54797,1200,70,10845.5770025958
54878,677,568,347421.823438001
54967,457,457,185853.223883035
54999,445,300,356060.631983509
55102,440,405,419625.61703199
55253,431,415,223104.333196619
55282,436,417,108924.976621654
55350,600,30,6270.92162355499
55389,550,350,22957.1651412987
55416,457,457,180814.351613707
55597,597,597,494987.089972143
55723,409,409,356060.631983509
55853,404,400,662859.921056073
55914,477,477,199193.160171882
55979,500,100,6304.57291907622
56006,404,400,291899.166683498
56021,600,525,63313.2716167866
56150,533,478,989057.311065303
56206,65000,56,10131.3188932091
56229,418,169,155894.407952949
56323,520,300,58077.9385026648
56378,620,620,246013.735259342
56484,426,342,176242.759153436
56848,500,320,198857.976316822
56958,1111,1111,4616.52903903749
56977,1000,40,6376.9903170274
57123,1111,1111,4944.25105458981
57176,440,425,301676.502812829
57440,456,330,193296.506275197
57553,456,330,200680.677094905
57610,900,850,60215.5961613585
57644,431,415,210868.915936578
57790,740,489,218844.356527565
57991,515,115,80832.3400995436
58073,1000,1000,4729.17601884213
58107,533,478,1031223.10410863
58149,430,330,362011.803375395
58165,430,308,336658.003240381
58488,406,406,104210.452855126
58558,111111,11111,16744.78404247
58672,420,400,25923.1466141664
58822,595,280,446208.666393239
59015,1111,55,8408.59785561632
59049,500,200,146986.156069924
59184,500,500,27592.6290723598
59403,460,460,291899.166683498
60037,3800,355,1990.86526958226
60053,442,330,215255.180492508
60063,571,571,433507.196524125
60116,600,260,144371.234575208
60363,460,460,323111.725114632
60396,404,400,346805.7572193
60417,4170,41,8408.59785561632
60429,685,60,2710.14714602648
60706,436,436,139435.212120318
60728,1985,171,121248.510149315
60769,478,445,858109.11533146
60831,423,406,150678.626344756
60834,445,300,434202.416747922
60864,450,190,37613.152452519
60902,1111,1111,11332.280684731
60941,436,418,111552.16659831
60955,478,445,824978.483286906
61220,800,50,3675.62069464453
61403,520,300,42213.8287217046
61509,426,394,219896.055194231
61591,520,300,56661.403423655
61640,500,500,514865.469198876
61641,500,500,534495.112981541
61758,611,335,356681.774477192
61807,423,406,118405.568181509
61978,490,390,145233.302162205
62088,457,457,182073.022540133
62322,1111,1111,7597.59259401439
62455,603,377,206244.620821726
62978,547,441,168152.916846556
63019,450,410,155894.407952949
63024,1000,1000,12222.639308245
63053,440,405,445412.594151284
63085,464,39,10543.4457968289
63121,32000,30,8659.24691643403
63152,770,610,464800.694159624
63416,770,610,526028.130063096
63508,800,55,3924.01233262095
63738,440,425,252493.502430286
63765,450,450,263586.144920723
63769,460,460,275107.481663597
63827,750,550,608387.31114663
64219,478,445,875377.426110259
64272,4040,40,4702.87380262688
64520,777,444,2886.41563881134
64814,507,430,209812.808515995
64922,404,400,280989.59414453
64979,45000,45000,929.247016147942
65051,550,550,99596.5800859412
65162,450,450,111552.16659831
65368,420,360,522905.938208904
65457,750,550,607662.257901721
65473,100000000,100000000,7642.19313908425
65774,500,500,1970.49000785089
65940,550,350,21639.8398869978
66027,1111,40,7416.37658188471
66335,30000,40,2231043.33196619
66457,487,385,181005.901687697
66461,418,169,154877.686569196
66710,478,445,804470.674167544
67032,410,60,17674.8726914771
67369,1111,40,7069.94907659082
67516,1140,116,32072.7653558122
67765,440,437,127705.88542403
67826,1111,1111,5884.26805780447
67938,600,600,1855.96119092046
67941,624,624,179273.844154694
67948,30000,40,2390317.92206259
68059,520,300,47028.7380262688
68082,440,425,218924.375012623
68092,597,597,578936.555663896
68301,611,335,365933.806837264
68782,500,490,278870.424240635
68886,62000,60000,18352.6285668421
69211,437,317,130052.158957238
69306,1111,55,8408.59785561632
69540,547,441,163040.731912977
69800,677,568,516612.43318202
70095,420,360,514309.801753958
70105,650,650,182056.566992551
70286,436,436,321788.269667018
70331,780,600,272312.441554135
70615,460,400,75919.0390181706
70624,520,300,44366.7339842116
70863,406,345,145233.302162205
71047,478,445,841645.008100953
71542,450,450,133623.778245385
71583,450,410,150169.095183005
71593,420,420,243379.221751594
71621,515,115,88381.3228074764
71701,440,425,251775.370219194
71809,669,618,341900.036521206
72756,445,300,356060.631983509
72908,1111,111,4977.16317395564
72941,500,400,44366.7339842116
73157,500,280,148814.162438744
73163,420,350,310142.864601217
73169,440,405,347368.176183753
73195,620,620,306016.964410939
73350,520,300,67784.8562662238
73502,1111,55,8408.59785561632
73554,500,500,30393.9566796273
73583,1111111,111111,6569.67358865709
73725,38000,38000,8659.84414681403
73876,700,270,52057.6777458779
73916,520,300,62214.5396744455
74087,675,402,179273.844154694
74250,418,169,144371.234575208
74403,39000,100,10509.2800418714
74478,491,490,315616.878037857
74592,450,450,176762.645614953
75057,1111,45,5972.30630814761
75069,500,80,3534.97453829541
75122,1111,1111,3316.03496485425
75208,800,50,3663.73613264644
75263,460,450,150169.095183005
75267,677,568,494987.089972143
75600,420,42,2257.1913103088
75615,800,50,4192.94385335047
75873,500,70,1781650.37660514
75906,403,403,196725.191407032
76058,423,406,155894.407952949
76149,685,60,6085410.69819792
76267,490,390,192978.851887965
76356,500,500,419811.283335513
76462,418,260,210742.195608398
76510,1000,500,40670.9137597343
76520,1000,40,3363.43914224653
76974,600,600,1762.40626292182
77065,465,195,133623.778245385
77299,491,490,278880.416495774
77317,426,342,145894.633997176
77359,11111,1111,6778.48562662238
77381,800,150,41153.6265509113
77408,478,478,437688.713055129
77488,595,280,416841.811420504
77581,406,406,126246.751215143
77626,1111,1111,13453.7565689861
77819,420,350,298730.964243486
78039,718,487,356330.075321027
78050,597,597,309495.916871546
78271,431,415,328266.534791347
78465,500,500,30393.9566796273
78491,440,440,116628.237657499
78570,404,400,349733.673612501
78893,25000,40,3284.83679432855
79344,718,487,346805.7572193
79349,520,300,56661.403423655
79481,2222,1111,5780.10402302928
79738,800,50,3793.24055665788
79764,1111,27,3714.81692751
79919,409,409,336658.003240381
80007,442,330,267247.55649077
80272,478,445,885015.351823977
80276,440,425,361835.347289935
80500,620,620,260288.388729389
80897,500,500,40796.2104650316
80975,431,415,218924.375012623
81125,550,350,17674.8726914771
81176,545,545,236004.116013583
81522,700,700,263427.744510497
81617,450,450,164995.696657381
81668,440,236,167850.246812796
81869,445,300,363745.530447946
82242,1049,1049,663761.513867983
82384,490,390,135320.649350296
82579,1111,45,4992.95192737939
82768,1000,1000,2437.56095724628
83025,1000,46,5831.41188287495
83062,431,415,228304.045242431
83165,457,457,142086.681817811
83174,475,475,217101.208373961
83297,420,420,240441.900608595
83370,440,440,116628.237657499
83441,478,445,890825.188302568
83461,1340,110,17870.9204499822
83499,500,400,52538.1076589685
83720,500,500,446208.666393239
83770,457,457,183610.178646563
84071,1000,1000,4880.50965116811
84078,1000,500,47595.5788758702
84118,457,385,175724.096613815
84260,403,403,189370.126822714
84499,450,450,130052.158957238
84701,550,350,23070.70167179
84722,416,405,171621.823066292
84887,600,525,58314.1188287495
84993,457,385,166161.628258971
85132,500,400,22449.8994129771
85284,1111,1111,16496.5478453786
85289,605,377,215255.180492508
85493,900,850,39562.2924426121
85715,2000,2000,22159.6450658753
85724,35000,30,4956.70010044371
85932,1111,1111,5255.73887092567
85967,11111111,32,9621.82960674367
86049,571,571,412489.241643453
86146,457,457,176242.759153436
86159,1111,55,8408.59785561632
86618,1500,1500,38261.9419021644
86661,685,60,5290708.88353424
86709,520,300,30901.5690911863
86741,500,500,520208.63582895
87083,750,550,583798.333366996
87178,1111,1111,88121.3795767179
87198,1500,1500,5253.81076589685
87379,454,433,258306.21659101
87509,485,444,907708.138513782
87842,4674,4320,10204.9707950312
87911,677,568,318709.056275012
87918,401,326,131937.633116539
87935,1111,1111,8595.53489839439
87964,404,400,346630.260436654
88514,1111,1111,5267.21865894211
88638,500,500,25957.3180365965
89056,415,45,5698.19444551079
89106,406,406,260104.317914475
89356,402,300,298789.740257824
89490,603,377,215255.180492508
89569,45000,45000,895.228339149869
89879,624,624,156315.679282689
89915,480,480,277894.540947003
90207,800,50,3162.49791725849
90277,478,445,729747.916708745
90306,800,50,3666.4862264908
90341,520,300,60110.6663527717
90446,500,500,41861.9601061749
90647,401,326,155370.664934068
90725,416,230,104906.404257998
90727,700,60,2493.10175064082
90917,93000,93000,78690.0765628128
90962,420,400,33718.7178280008
91095,410,60,22396.1486555535
91169,478,445,867014.39304825
91294,591,423,225789.31451944
91524,669,618,298730.964243486
91690,65000,65,5655.95926127266
91713,520,520,116940.189878096
91805,1000,500,37268.0565467377
91903,32000,30,8062.61351599927
92131,500,70,1748668.36806251
92159,420,420,2404.42665411087
92185,600,50,9938.1484124634
92405,426,394,175139.500010099
92422,1000,1000,8028.7461548478
92425,1000000,150,127705.88542403
92594,420,350,356681.774477192
92598,597,597,312631.358565378
92622,750,550,557740.848481271
92729,426,394,272756.651070794
92907,577,522,241341.202250263
92945,4410,42,9405.74760525377
92966,440,440,122226.39308245
93389,500,500,1866.43619023337
93433,460,400,71422.2915507069
93453,680,680,347368.176183753
93518,440,405,338301.62337574
93760,409,409,301357.252689511
93803,430,308,247493.544986072
93880,457,385,181005.901687697
93912,11111,1111,4761.47944442057
94252,575,575,363745.530447946
94331,430,308,349733.673612501
94393,520,300,37326.9144259225
94443,490,390,168329.001620191
94630,420,400,43062.6666019778
94640,420,420,189136.393643723
94779,431,415,176762.645614953
94830,500,43,72974.7916708745
94854,677,568,233841.359414057
95053,900,850,61873.3862465179
95186,45000,45000,7216.03909702836
95326,30000,40,2084209.05710252
95346,1111,45,5972.30630814761
95411,1111,1111,5041.56647056296
95444,456,330,219112.476189071
95719,500,400,47028.7380262688
95810,460,460,334656.499794929
